Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc04g007910.3	0.0005853373689108771	0
Solyc06g075140.3	0.0005853373689108771	0
Solyc10g049250.4	0.0006055688646925361	0
Solyc05g007950.5	0.0006205394869523598	0
Solyc01g105800.4	0.0006210423960015262	0
Solyc05g012900.4	0.0006210423960015262	0
Solyc04g074850.3	0.0006210423960015262	0
Solyc09g007940.3	0.0006210423960015262	0
Solyc09g075320.1	0.0006210423960015262	0
Solyc12g021280.2	0.0006210423960015262	0
Solyc09g075590.1	0.0006210423960015262	0
Solyc09g092670.3	0.0006210423960015262	0
Solyc12g057090.1	0.0006210423960015262	0
Solyc12g063050.3	0.0006210423960015262	0
Solyc08g078160.3	0.0006524352254905595	0
Solyc12g006505.2	0.000657703224963559	0
Solyc10g019170.2	0.0006826611062994836	0
Solyc11g028170.3	0.0006835929988827057	0
Solyc12g088480.2	0.0006969280445023205	0
Solyc12g015860.2	0.0006969280445023205	0
Solyc02g085690.4	0.0006974830925311123	0
Solyc05g010800.3	0.0006974830925311123	0
Solyc03g078570.3	0.0006974830925311123	0
Solyc04g007280.3	0.0006974830925311123	0
Solyc05g008100.1	0.0006974830925311123	0
Solyc11g066540.2	0.0006974830925311123	0
Solyc12g057160.1	0.0006974830925311123	0
Solyc12g042240.2	0.0006974830925311123	0
Solyc12g019690.2	0.0006974830925311123	0
Solyc12g056480.2	0.0007456573172027349	0
Solyc04g051787.1	0.0007744389938134934	0
Solyc08g014230.5	0.0007813696054785144	0
Solyc01g106870.4	0.0007819812035578724	0
Solyc11g072130.2	0.0007819812035578724	0
Solyc01g028807.1	0.0007825931277754698	0
Solyc02g086090.4	0.0007825931277754698	0
Solyc02g078030.3	0.0007825931277754698	0
Solyc01g087300.3	0.0007825931277754698	0
Solyc03g031790.1	0.0007825931277754698	0
Solyc03g117900.3	0.0007825931277754698	0
Solyc04g080920.3	0.0007825931277754698	0
Solyc06g069390.4	0.0007825931277754698	0
Solyc09g005920.5	0.0007825931277754698	0
Solyc07g055630.5	0.0007825931277754698	0
Solyc10g044640.3	0.0007825931277754698	0
Solyc12g044820.3	0.0007825931277754698	0
Solyc02g021685.1	0.0008305472217953015	0
Solyc11g056270.3	0.0008738946603139669	0
Solyc10g050570.1	0.0008754680284079257	0
Solyc04g079030.2	0.000876586727154743	0
Solyc02g067780.3	0.0008772606186273885	0
Solyc03g007860.1	0.0008772606186273885	0
Solyc02g027080.2	0.0008772606186273885	0
Solyc03g044060.4	0.0008772606186273885	0
Solyc03g045070.1	0.0008772606186273885	0
Solyc04g080050.4	0.0008772606186273885	0
Solyc06g054390.3	0.0008772606186273885	0
Solyc08g006170.1	0.0008772606186273885	0
Solyc08g076170.1	0.0008772606186273885	0
Solyc08g015660.3	0.0008772606186273885	0
Solyc12g005570.2	0.0008772606186273885	0
Solyc12g044720.2	0.0008772606186273885	0
Solyc10g007120.4	0.0008772606186273885	0
Solyc12g040500.2	0.0008772606186273885	0
Solyc11g070120.2	0.0008772606186273885	0
Solyc04g015980.4	0.0009200186206774203	0
Solyc03g063390.1	0.000926357907896409	0
Solyc01g090720.3	0.0009277706205460001	0
Solyc03g078810.4	0.0009277706205460001	0
Solyc06g053360.5	0.0009277706205460001	0
Solyc12g015910.1	0.0009277706205460001	0
Solyc01g081185.1	0.0009817118324235677	0
Solyc01g080330.5	0.0009824531542444075	0
Solyc01g056340.4	0.0009824531542444075	0
Solyc01g095580.3	0.0009824531542444075	0
Solyc02g092040.1	0.0009824531542444075	0
Solyc01g073680.5	0.0009824531542444075	0
Solyc06g007690.1	0.0009824531542444075	0
Solyc06g008340.5	0.0009824531542444075	0
Solyc05g053090.2	0.0009824531542444075	0
Solyc05g054860.1	0.0009824531542444075	0
Solyc03g097800.5	0.0009824531542444075	0
Solyc06g006022.2	0.0009824531542444075	0
Solyc07g005450.3	0.0009824531542444075	0
Solyc07g061935.1	0.0009824531542444075	0
Solyc06g051210.3	0.0009824531542444075	0
Solyc08g076950.3	0.0009824531542444075	0
Solyc08g008670.3	0.0009824531542444075	0
Solyc06g071070.1	0.0009824531542444075	0
Solyc12g042900.2	0.0009824531542444075	0
Solyc10g079850.2	0.0009824531542444075	0
Solyc10g081605.1	0.0009824531542444075	0
Solyc12g098945.1	0.0009824531542444075	0
Solyc03g083620.1	0.0009918657577595185	0
Solyc08g028850.1	0.0010123750215923401	0
Solyc09g064277.2	0.0010362153386316525	0
Solyc06g059810.1	0.0010385446320213161	0
Solyc10g045100.2	0.0010385446320213161	0
Solyc05g040100.4	0.0010440876523208765	0
Solyc12g035180.1	0.0010449067244402434	0
Solyc08g150131.1	0.0010668125195373527	0
Solyc11g028167.2	0.0010805197672079099	0
Solyc10g005430.4	0.0010959675857926954	0
Solyc04g007660.1	0.001098408995641307	0
Solyc02g081480.4	0.0010992236011613556	0
Solyc03g020060.3	0.0010992236011613556	0
Solyc03g025200.3	0.0010992236011613556	0
Solyc05g013680.3	0.0010992236011613556	0
Solyc03g097920.1	0.0010992236011613556	0
Solyc07g061970.3	0.0010992236011613556	0
Solyc07g008310.3	0.0010992236011613556	0
Solyc10g054850.2	0.0010992236011613556	0
Solyc09g092030.4	0.0010992236011613556	0
Solyc10g005590.5	0.0010992236011613556	0
Solyc10g085560.3	0.0010992236011613556	0
Solyc09g083003.1	0.0010992236011613556	0
Solyc10g081470.2	0.0010992236011613556	0
Solyc09g089850.3	0.0010992236011613556	0
Solyc04g079010.1	0.0011274879309188046	0
Solyc06g073583.1	0.0011524179491625955	0
Solyc05g008130.4	0.0011580406725543789	0
Solyc06g083050.3	0.0011614508036118375	0
Solyc08g076310.3	0.0011614508036118375	0
Solyc09g097810.3	0.0011614508036118375	0
Solyc11g068360.1	0.0011614508036118375	0
Solyc08g068990.2	0.0011766920606362963	0
Solyc06g072010.2	0.0011885046149330124	0
Solyc01g014140.3	0.0012109145042887084	0
Solyc01g106800.4	0.0012260350250726205	0
Solyc04g076650.2	0.0012260350250726205	0
Solyc08g005980.3	0.0012278220416662023	0
Solyc10g007510.2	0.0012278220416662023	0
Solyc02g080370.3	0.001228716192677467	0
Solyc01g098200.3	0.001228716192677467	0
Solyc02g068350.1	0.001228716192677467	0
Solyc01g010860.3	0.001228716192677467	0
Solyc02g063200.3	0.001228716192677467	0
Solyc02g087330.3	0.001228716192677467	0
Solyc01g007750.3	0.001228716192677467	0
Solyc03g005920.4	0.001228716192677467	0
Solyc03g033530.4	0.001228716192677467	0
Solyc05g056450.3	0.001228716192677467	0
Solyc04g072039.1	0.001228716192677467	0
Solyc04g083150.2	0.001228716192677467	0
Solyc04g076640.3	0.001228716192677467	0
Solyc06g048530.4	0.001228716192677467	0
Solyc06g073190.3	0.001228716192677467	0
Solyc07g043050.1	0.001228716192677467	0
Solyc07g008920.5	0.001228716192677467	0
Solyc09g090670.3	0.001228716192677467	0
Solyc12g010790.2	0.001228716192677467	0
Solyc12g088220.2	0.001228716192677467	0
Solyc12g013550.2	0.001228716192677467	0
Solyc10g080780.2	0.001228716192677467	0
Solyc12g040570.1	0.001228716192677467	0
Solyc09g015457.1	0.0012421286358581577	0
Solyc08g015820.1	0.0012805635814498847	0
Solyc04g014830.3	0.0012976810067180126	0
Solyc03g033515.1	0.0013260848684221828	0
Solyc02g067770.3	0.001351680690822094	0
Solyc08g079440.1	0.0013649951835711847	0
Solyc06g016760.3	0.0013711925170007576	0
Solyc08g081240.3	0.0013711925170007576	0
Solyc12g099810.2	0.0013711925170007576	0
Solyc12g100200.2	0.0013711925170007576	0
Solyc02g085250.4	0.001372172901750965	0
Solyc03g007830.3	0.001372172901750965	0
